user_input,reference_contexts,query_style,source_file,retrieved_contexts,retrieved_file
ley protección consumidor 1997 SERNAC,"['# LEY DE PROTECCIÓN AL CONSUMIDOR\n\nEs una legislación de carácter esencialmente tutelar que busca romper el desequilibrio natural que existe entre los dos principales agentes del mercado: proveedor y consumidor. Tiene por objeto normar las relaciones entre proveedores y consumidores, establecer las infracciones en perjuicio del consumidor y señalar el procedimiento aplicable en estas materias. La primera Ley de Derechos del Consumidor del país (Ley Nº 19.496) entró en vigencia en 1997, después de seis años de debate, esta fue modificada mediante la LEY-19955 del 14.07.2004. La legislación dio al Servicio Nacional del Consumidor (SERNAC) la responsabilidad de mediar cada vez que estos derechos supuestamente se infringieran.\n']",Buscador de Palabras Clave,BD1-00384,"['# LEY DE PROTECCIÓN AL CONSUMIDOR Es una legislación de carácter esencialmente tutelar que busca romper el desequilibrio natural que existe entre los dos principales agentes del mercado: proveedor y consumidor. Tiene por objeto normar las relaciones entre proveedores y consumidores, establecer las infracciones en perjuicio del consumidor y señalar el procedimiento aplicable en estas materias. La primera Ley de Derechos del Consumidor del país (Ley Nº 19.496) entró en vigencia en 1997, después de seis años de debate, esta fue modificada mediante la LEY-19955 del 14.07.2004. La legislación dio al Servicio Nacional del Consumidor (SERNAC) la responsabilidad de mediar cada vez que estos derechos supuestamente se infringieran.', '# En qué consisten y cuáles son los documentos SERNAC Son documentos anexos a la escritura establecidos en la legislación sobre Protección de los Derechos de los Consumidores. Son básicamente dos: La hoja resumen es un documento que detalla las condiciones principales del préstamo, como el monto, la tasa de interés, el plazo, el costo total, y otros cargos relevantes y que debe ser firmado por el deudor. El otro documento es la ficha explicativa sobre el rol de avalista, fiador o codeudor solidario. Este documento contiene información sobre las obligaciones que asumen los avales o codeudores y debe ser firmado por éstos.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00384 - LEY DE PROTECCIÓN AL CONSUMIDOR.md', 's3://pec-cc-ai-sand-concierge-data/data/Fabrica Curse/Preguntas Frecuentes/BD1-00146 - En qué consisten y cuáles son los documentos sernac.md']"
¿A qué edad se puede trabajar en Chile y qué requisitos hay para los menores de edad?,"['# LEYES LABORALES\n\nConjunto de normas y leyes que establecen los márgenes legales y normativos expresados en deberes y derechos de trabajadores y de empleadores. Ej. En nuestro país la normativa laboral es determinada por el Código del Trabajo, en el cual se establece que las personas mayores de 18 años pueden libremente elegir cualquier trabajo. Aquellas personas entre 15 y 18 años pueden ejercer actividad remunerada, siempre y cuando sus padres las autoricen y no comprometa sus obligaciones educacionales ni ponga en riesgo su salud.\n']",Principiante / Educativo,BD1-00385,"['# LEYES LABORALES Conjunto de normas y leyes que establecen los márgenes legales y normativos expresados en deberes y derechos de trabajadores y de empleadores. Ej. En nuestro país la normativa laboral es determinada por el Código del Trabajo, en el cual se establece que las personas mayores de 18 años pueden libremente elegir cualquier trabajo. Aquellas personas entre 15 y 18 años pueden ejercer actividad remunerada, siempre y cuando sus padres las autoricen y no comprometa sus obligaciones educacionales ni ponga en riesgo su salud.', 'Si eres trabajadores dependientes debes acreditar una antigüedad laboral de a lo menos 1 año. Si eres trabajador Independiente con título profesional, debes tener a lo menos 1 año desde la Iniciación de Actividades y, con título técnico, comisionista u otra prestación de servicios, debes tener a lo menos 2 años desde la Iniciación de Actividades. Si eres Socio de Empresa debes tener a lo menos 2 años de antigüedad.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00385 - LEYES LABORALES.md', 's3://pec-cc-ai-sand-concierge-data/data/Sitio Publico/Crédito Hipotecario/Todo lo que necesitas saber/BD1-00103 - Requisitos para obtener un crédito hipotecario_v1.0.md']"
"Oye, ¿me puedes explicar al tiro qué son las leyes previsionales y cómo me protege la AFP cuando me jubile?",['# LEYES PREVISIONALES\n\nConjunto de leyes destinadas a establecer las garantías de los trabajadores y sus familias una vez que jubilen o dejen de desarrollar labores productivas. Ej. En el caso de Chile existe el sistema de Administradoras de Fondos de Pensiones (AFP) que son empresas privadas que administran los recursos que acumula cada trabajador en sus años laborales.\n'],Colloquial Chileno Natural,BD1-00386,"['# LEYES PREVISIONALES Conjunto de leyes destinadas a establecer las garantías de los trabajadores y sus familias una vez que jubilen o dejen de desarrollar labores productivas. Ej. En el caso de Chile existe el sistema de Administradoras de Fondos de Pensiones (AFP) que son empresas privadas que administran los recursos que acumula cada trabajador en sus años laborales.', '# AFP (Administradoras de Fondos de Pensiones) son instituciones financieras privadas encargadas de administrar los fondos y ahorros de pensiones. Fueron creadas en Chile en noviembre de 1980 por el DL N° 3500 que reforma el sistema previsional transformándolo en un sistema de capitalización individual de las pensiones de vejez, invalidez y sobrevivencia. La cobertura del sistema es obligatoria para todos los trabajadores dependientes (con contrato de trabajo) y opcional para los trabajadores independientes. En ambos casos la cotización es de un 10% de las remuneraciones y rentas imponibles mensuales. La imposición de los trabajadores dependientes las efectúa el empleador y es obligatoria (sin aportes del empleador para la cotización), mientras que en los independientes es individual y voluntaria.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00386 - LEYES PREVISIONALES.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00177 - AFP.md']"
¿Cómo funciona la línea de crédito del banco y qué necesito para usarla?,"['# LÍNEA DE CRÉDITO\n\nEs un monto de dinero que el banco pone a disposición de un cliente al que se le abre una cuenta corriente con línea de crédito o se le entrega una tarjeta de crédito, para ser utilizado cuando éste lo requiera.\n']",Orientado a la Acción,BD1-00387,"['# LÍNEA DE CRÉDITO Es un monto de dinero que el banco pone a disposición de un cliente al que se le abre una cuenta corriente con línea de crédito o se le entrega una tarjeta de crédito, para ser utilizado cuando éste lo requiera.', '¿Puedes sostener el pago de una cuota de crédito durante un plazo determinado?Calcula lo que debes pagar y si puedes mantener tu flujo durante la duración del crédito. Conoce aquí los distintos tipos de créditos: Línea de CréditoEs un monto de dinero, determinado por un contrato, que una entidad financiera entrega al titular de una cuenta corriente, para ser utilizado cuando no tenga fondos en su cuenta. La línea de crédito normalmente está sujeta al pago de intereses sobre el monto que se haya utilizado. Además, según la institución financiera, puede originar comisiones por su utilización y por eventuales seguros asociados (por ejemplo, de desgravamen, que cubre la deuda ante el fallecimiento del titular).']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00387 - LÍNEA DE CRÉDITO.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00038 - Lo que debes saber antes de solicitar un crédito_v1.0.md']"
"Oye, ¿cómo se hace la liquidación de un siniestro en mi seguro? Necesito saber qué pasos siguen y cómo calculan la indemnización","['# LIQUIDACIÓN DE SINIESTRO\n\nProcedimiento establecido en el Decreto Supremo Nº 863 de 1989 para ajustar los daños provocados por un siniestro, determinar la procedencia de la cobertura contratada en la póliza y el monto de la indemnización a pagar si corresponde.\n']",Colloquial Chileno Natural,BD1-00388,"['# LIQUIDACIÓN DE SINIESTRO Procedimiento establecido en el Decreto Supremo Nº 863 de 1989 para ajustar los daños provocados por un siniestro, determinar la procedencia de la cobertura contratada en la póliza y el monto de la indemnización a pagar si corresponde.', '# REGLA PROPORCIONAL O PRORRATEO Fórmula que se aplica en la determinación del monto a indemnizar. En caso de siniestro parcial y existiendo infraseguro, el daño debe ser liquidado teniendo en cuenta la proporción que exista entre el capital asegurado y el valor real del inmueble o mueble asegurado al momento del siniestro. Por ejemplo, si una casa está asegurada por UF3000 y su valor real es UF4000 y es afectada por un siniestro de incendio que destruye la mitad del inmueble, la indemnización corresponderá a la mitad de UF3000 y no la mitad de UF4000.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00388 - LIQUIDACIÓN DE SINIESTRO.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00441 - REGLA PROPORCIONAL O PRORRATEO.md']"
¿Qué es un liquidador de siniestros y cuál es su función?,"['# LIQUIDADOR DE SINIESTROS\n\nPersona natural o jurídica que, registrada como tal en la Superintendencia de Valores y Seguros (S.V.S), es contratada por las compañías de seguros para investigar la ocurrencia de los siniestros y sus circunstancias y determinar si éstos se encuentran o no amparados por la póliza y el monto de la indemnización que corresponda pagar al asegurado o beneficiario, en su caso.\n\nPrincipio del formulario\n']",Principiante / Educativo,BD1-00389,"['# LIQUIDADOR DE SINIESTROS Persona natural o jurídica que, registrada como tal en la Superintendencia de Valores y Seguros (S.V.S), es contratada por las compañías de seguros para investigar la ocurrencia de los siniestros y sus circunstancias y determinar si éstos se encuentran o no amparados por la póliza y el monto de la indemnización que corresponda pagar al asegurado o beneficiario, en su caso. Principio del formulario', '# LIQUIDACIÓN DE SINIESTRO Procedimiento establecido en el Decreto Supremo Nº 863 de 1989 para ajustar los daños provocados por un siniestro, determinar la procedencia de la cobertura contratada en la póliza y el monto de la indemnización a pagar si corresponde.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00389 - LIQUIDADOR DE SINIESTROS.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00388 - LIQUIDACIÓN DE SINIESTRO.md']"
¿Qué es la macroeconomía y qué variables incluye?,"['# MACROECONOMÍA\n\nEs el estudio de los grandes agregados económicos en los que se resumen la actividad económica de una nación, como son el producto nacional, la tasa de inflación, el empleo y la oferta monetaria, el nivel general de precios y la inflación y el déficit o superávit comercial que tiene un país.\n']",Principiante / Educativo,BD1-00390,"['# MACROECONOMÍA Es el estudio de los grandes agregados económicos en los que se resumen la actividad económica de una nación, como son el producto nacional, la tasa de inflación, el empleo y la oferta monetaria, el nivel general de precios y la inflación y el déficit o superávit comercial que tiene un país.', '# MICROECONOMÍA Rama de la ciencia económica que realiza una abstracción teórica del comportamiento de todos los agentes económicos a nivel de agregados, como las familias o unidades económicas de consumo y las empresas como unidades de producción y sus relaciones a través del mercado. Analiza la teoría del consumidor, la teoría de la demanda, los costos y la producción lo que implica la asignación de los recursos de manera más eficiente.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00390 - MACROECONOMÍA.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00402 - MICROECONOMÍA.md']"
"Si yo tengo una certificación en mecánica y ofrezco mis conocimientos y destrezas al empleador, ¿eso cuenta como mano de obra según la definición que manejan?","['# MANO DE OBRA\n\nCorresponde al capital que posee el trabajador. Expresado de otro modo, es el conjunto de conocimientos especializados, calificación laboral o destrezas técnicas, que posee el trabajador y que es ofrecido por éste al empleador.\n']",Caso Hipotético en Primera Persona,BD1-00391,"['# MANO DE OBRA CALIFICADA Grado de instrucción o de conocimiento que posee el trabajador y que le capacita y especializa en una función determinada.', '# MANO DE OBRA Corresponde al capital que posee el trabajador. Expresado de otro modo, es el conjunto de conocimientos especializados, calificación laboral o destrezas técnicas, que posee el trabajador y que es ofrecido por éste al empleador.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00392 - MANO DE OBRA CALIFICADA.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00391 - MANO DE OBRA.md']"
definición mano de obra calificada,['# MANO DE OBRA CALIFICADA\n\nGrado de instrucción o de conocimiento que posee el trabajador y que le capacita y especializa en una función determinada.\n'],Buscador de Palabras Clave,BD1-00392,"['# MANO DE OBRA CALIFICADA Grado de instrucción o de conocimiento que posee el trabajador y que le capacita y especializa en una función determinada.', '# MANO DE OBRA Corresponde al capital que posee el trabajador. Expresado de otro modo, es el conjunto de conocimientos especializados, calificación laboral o destrezas técnicas, que posee el trabajador y que es ofrecido por éste al empleador.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00392 - MANO DE OBRA CALIFICADA.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00391 - MANO DE OBRA.md']"
"Oye, ¿me puedes explicar al tiro qué es el marketing?","['# MARKETING\n\nConjunto de técnicas utilizadas para la comercialización y distribución de un producto entre los diferentes consumidores. Ejemplo: Parte del marketing es preocuparse del precio del producto, el envase, la publicidad, etc.\n']",Colloquial Chileno Natural,BD1-00393,"['# MARKETING Conjunto de técnicas utilizadas para la comercialización y distribución de un producto entre los diferentes consumidores. Ejemplo: Parte del marketing es preocuparse del precio del producto, el envase, la publicidad, etc.', '# MERCADO Es una organización social en la que interactúan oferentes y demandantes, estableciendo acuerdos sobre bienes y servicios a transar y los precios de los mismos. También, puede definirse como un lugar -físico o virtual- donde se realizan las compras y ventas de bienes y servicios, donde se juntan los que quieren comprar con los que quieren vender. Por lo tanto es un concepto amplio ya que hay muchas partes donde uno puede comprar o vender. Ej. Está el mercado de bienes de consumo (supermercados, multitiendas, malls, feria libre), el mercado financiero (bancos, financieras, multitiendas), el mercado de las telecomunicaciones (Cable, telefonía).']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00393 - MARKETING.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00395 - MERCADO.md']"
¿Qué significa maximizar beneficios y cómo se logra en una empresa?,"['# MAXIMIZAR BENEFICIOS\n\nImplica generar estrategias productivas para aumentar los ingresos de la empresa. Toda empresa o compañía debe ajustar su producción para maximizar sus beneficios, es decir, la diferencia entre lo que ingresa por sus ventas y los costes que ha de cubrir para producir la cantidad de bienes vendidos.\n']",Principiante / Educativo,BD1-00394,"['# MAXIMIZAR BENEFICIOS Implica generar estrategias productivas para aumentar los ingresos de la empresa. Toda empresa o compañía debe ajustar su producción para maximizar sus beneficios, es decir, la diferencia entre lo que ingresa por sus ventas y los costes que ha de cubrir para producir la cantidad de bienes vendidos.', '# BENEFICIO Ganancia que le queda a una empresa luego de descontar los egresos de los ingresos. Ej. Si yo produzco 10 helados, me cuesta $1.000 pesos producirlos (leche, saborizante, luz, tiempo) y luego los vendo a $150 pesos cada helado, mi beneficio es de $50 pesos por helado.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00394 -MAXIMIZAR BENEFICIOS.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00207 - BENEFICIO.md']"
k e s un merado y pa ke sirve,"['# MERCADO\n\nEs una organización social en la que interactúan oferentes y demandantes, estableciendo acuerdos sobre bienes y servicios a transar y los precios de los mismos. También, puede definirse como un lugar -físico o virtual- donde se realizan las compras y ventas de bienes y servicios, donde se juntan los que quieren comprar con los que quieren vender. Por lo tanto es un concepto amplio ya que hay muchas partes donde uno puede comprar o vender. Ej. Está el mercado de bienes de consumo (supermercados, multitiendas, malls, feria libre), el mercado financiero (bancos, financieras, multitiendas), el mercado de las telecomunicaciones (Cable, telefonía).\n']",Mal redactado / Errores ortográficos,BD1-00395,"['# MONEDA Es la representación material que se utiliza como instrumento de cambio comercial, por ejemplo, las monedas, los billetes, las tarjeras de crédito, las letras, etc. Ej. En la máquina de bebidas se pueden utilizar billetes o monedas, mientras que en una multitienda se puede utilizar una tarjeta de crédito.', '# MERCADO Es una organización social en la que interactúan oferentes y demandantes, estableciendo acuerdos sobre bienes y servicios a transar y los precios de los mismos. También, puede definirse como un lugar -físico o virtual- donde se realizan las compras y ventas de bienes y servicios, donde se juntan los que quieren comprar con los que quieren vender. Por lo tanto es un concepto amplio ya que hay muchas partes donde uno puede comprar o vender. Ej. Está el mercado de bienes de consumo (supermercados, multitiendas, malls, feria libre), el mercado financiero (bancos, financieras, multitiendas), el mercado de las telecomunicaciones (Cable, telefonía).']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00404 - MONEDA.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00395 - MERCADO.md']"
k se hace en el mercado borsatil,['# MERCADO BURSÁTIL\n\nConjunto de actividades de mercado primario y secundario de transacción y colocación de emisiones de valores de renta variable y renta fija en la Bolsa de Valores.\n'],Mal redactado / Errores ortográficos,BD1-00396,"['# MERCADO BURSÁTIL Conjunto de actividades de mercado primario y secundario de transacción y colocación de emisiones de valores de renta variable y renta fija en la Bolsa de Valores.', 'La negociación de valores en las bolsas se efectúa a través de los miembros de la Bolsa, conocidos usualmente con el nombre de corredores, agentes o comisionistas, sociedades de corretaje de valores y casas de bolsa, de acuerdo a la denominación que reciben en las leyes de cada país, quienes hacen su labor a cambio de una comisión. Las bolsas de valores son reguladas, supervisadas y controladas por los Estados nacionales, aunque la mayoría de ellas fueron fundadas en fechas anteriores a la creación de los organismos supervisores oficiales.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00396 - MERCADO BURSÁTIL.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00222 - BOLSA DE VALORES.md']"
"Si yo quiero comprar un bien y contratar un servicio, ¿en qué lugar del mercado se realiza ese intercambio?",['# MERCADO DE BIENES Y SERVICIOS\n\nEs donde se intercambian los satisfactores necesarios (objetos y acciones) para todos los agentes económicos.\n'],Caso Hipotético en Primera Persona,BD1-00397,"['# MERCADO DE BIENES Y SERVICIOS Es donde se intercambian los satisfactores necesarios (objetos y acciones) para todos los agentes económicos.', '# MERCADO Es una organización social en la que interactúan oferentes y demandantes, estableciendo acuerdos sobre bienes y servicios a transar y los precios de los mismos. También, puede definirse como un lugar -físico o virtual- donde se realizan las compras y ventas de bienes y servicios, donde se juntan los que quieren comprar con los que quieren vender. Por lo tanto es un concepto amplio ya que hay muchas partes donde uno puede comprar o vender. Ej. Está el mercado de bienes de consumo (supermercados, multitiendas, malls, feria libre), el mercado financiero (bancos, financieras, multitiendas), el mercado de las telecomunicaciones (Cable, telefonía).']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00397 - MERCADO DE BIENES Y SERVICIOS.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00395 - MERCADO.md']"
"Oye, ¿qué se intercambia en el mercado de factores y cómo funciona?","['# MERCADO DE FACTORES\n\nEn este se intercambian factores productivos que por definición son la tierra, el trabajo, el capital y la capacidad empresarial. Ej. Las empresas demandan trabajo y los individuos ofrecen su trabajo.\n']",Colloquial Chileno Natural,BD1-00398,"['# MERCADO DE FACTORES En este se intercambian factores productivos que por definición son la tierra, el trabajo, el capital y la capacidad empresarial. Ej. Las empresas demandan trabajo y los individuos ofrecen su trabajo.', '# MERCADO DE BIENES Y SERVICIOS Es donde se intercambian los satisfactores necesarios (objetos y acciones) para todos los agentes económicos.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00398 - MERCADO DE FACTORES.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00397 - MERCADO DE BIENES Y SERVICIOS.md']"
definición mercado de trabajo,"['# MERCADO DE TRABAJO\n\nMercado en el que se ofrece y se demanda trabajo. La oferta de trabajo está conformada por las personas que, en un momento dado, desean trabajar a los salarios corrientes; la demanda de trabajo la realizan las empresas, que requieren de este factor productivo para realizar sus actividades. Ej. La web ha contribuido a agilizar y transparentar el mercado del trabajo con sus sitios web de ofertas y demandas laborales.\n']",Buscador de Palabras Clave,BD1-00399,"['# MERCADO DE TRABAJO Mercado en el que se ofrece y se demanda trabajo. La oferta de trabajo está conformada por las personas que, en un momento dado, desean trabajar a los salarios corrientes; la demanda de trabajo la realizan las empresas, que requieren de este factor productivo para realizar sus actividades. Ej. La web ha contribuido a agilizar y transparentar el mercado del trabajo con sus sitios web de ofertas y demandas laborales.', '# EMPLEO El empleo es la concreción de una serie de tareas a cambio de una retribución en dinero denominada sueldo o salario. En las sociedades actuales, los trabajadores comercian sus capacidades en el denominado mercado laboral, que está regulado por las potestades del estado para evitar conflictos. La empresa sería el lugar donde las facultades de los distintos trabajadores interactúan con la finalidad de percibir una ganancia.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00399 - MERCADO DE TRABAJO.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00319 - EMPLEO.md']"
¿Qué significa mercado financiero?,"['# MERCADO FINANCIERO\n\nLugar físico o virtual donde se concilian las necesidades de financiamiento con los recursos disponibles, en otros términos, es donde deudores y acreedores acuerdan las condiciones de los préstamos directamente como a través de intermediarios.\n']",Principiante / Educativo,BD1-00400,"['# MERCADO FINANCIERO Lugar físico o virtual donde se concilian las necesidades de financiamiento con los recursos disponibles, en otros términos, es donde deudores y acreedores acuerdan las condiciones de los préstamos directamente como a través de intermediarios.', '# MERCADO Es una organización social en la que interactúan oferentes y demandantes, estableciendo acuerdos sobre bienes y servicios a transar y los precios de los mismos. También, puede definirse como un lugar -físico o virtual- donde se realizan las compras y ventas de bienes y servicios, donde se juntan los que quieren comprar con los que quieren vender. Por lo tanto es un concepto amplio ya que hay muchas partes donde uno puede comprar o vender. Ej. Está el mercado de bienes de consumo (supermercados, multitiendas, malls, feria libre), el mercado financiero (bancos, financieras, multitiendas), el mercado de las telecomunicaciones (Cable, telefonía).']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00400 - MERCADO FINANCIERO.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00395 - MERCADO.md']"
¿Por qué aparecen los mercados paralelos cuando el Estado fija precios o impone racionamiento?,"['# MERCADO NEGRO\n\nAquel mercado que se forma al margen del mercado oficial o legal, cuando la autoridad impide el funcionamiento libre de mercado por medio de disposiciones administrativas como fijación de precios oficiales, tarjetas de racionamiento o cualquier otro medio. Normalmente los precios fijados son menores a los precios de equilibrio, o las tarjetas de racionamiento no satisfacen las necesidades de todas las personas, produciéndose excesos de demanda que introducen a los consumidores a ofrecer precios más altos que los fijados, burlándose de esta manera las normas legales.\n']",Duda Directa sobre Restricciones,BD1-00401,"['# MERCADO NEGRO Aquel mercado que se forma al margen del mercado oficial o legal, cuando la autoridad impide el funcionamiento libre de mercado por medio de disposiciones administrativas como fijación de precios oficiales, tarjetas de racionamiento o cualquier otro medio. Normalmente los precios fijados son menores a los precios de equilibrio, o las tarjetas de racionamiento no satisfacen las necesidades de todas las personas, produciéndose excesos de demanda que introducen a los consumidores a ofrecer precios más altos que los fijados, burlándose de esta manera las normas legales.', '# ECONOMÍA DE MERCADO Llamada también economía de libre mercado, es la que se desenvuelve a través de empresas privadas sin el control directo de parte del gobierno. En una economía de mercado los intercambios entre los individuos son libres y voluntarios y las leyes existen para favorecer y garantizar su adecuado funcionamiento. Ej. La de nuestro país es una economía de libre mercado pues existe libre competencia y el Estado a través de la normativa de las leyes protege el normal desarrollo de la misma.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00401 - MERCADO NEGRO.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00313 - ECONOMÍA DE MERCADO.md']"
microeconomía teoría consumidor demanda costos producción,"['# MICROECONOMÍA\n\nRama de la ciencia económica que realiza una abstracción teórica del comportamiento de todos los agentes económicos a nivel de agregados, como las familias o unidades económicas de consumo y las empresas como unidades de producción y sus relaciones a través del mercado. Analiza la teoría del consumidor, la teoría de la demanda, los costos y la producción lo que implica la asignación de los recursos de manera más eficiente.\n']",Buscador de Palabras Clave,BD1-00402,"['# MICROECONOMÍA Rama de la ciencia económica que realiza una abstracción teórica del comportamiento de todos los agentes económicos a nivel de agregados, como las familias o unidades económicas de consumo y las empresas como unidades de producción y sus relaciones a través del mercado. Analiza la teoría del consumidor, la teoría de la demanda, los costos y la producción lo que implica la asignación de los recursos de manera más eficiente.', '# MACROECONOMÍA Es el estudio de los grandes agregados económicos en los que se resumen la actividad económica de una nación, como son el producto nacional, la tasa de inflación, el empleo y la oferta monetaria, el nivel general de precios y la inflación y el déficit o superávit comercial que tiene un país.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00402 - MICROECONOMÍA.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00390 - MACROECONOMÍA.md']"
¿Qué pasos puedo seguir para reducir los costos de producción en mi empresa?,"['# MINIMIZAR COSTOS\n\nAcción consistente en acudir a técnicas productivas para obtener un producto o prestar un servicio disminuyendo su valor de producción, para de esta forma aumentar la ganancia y rentabilidad de la empresa. Ej. A comienzos de siglo, Chile era un exportador de salitre, Alemania crea el salitre sintético de similar calidad que permitió a empresas alemanas disminuir el costo de compra del salitre chileno ya que de esa forma se evitaban los costos de envío del producto a Europa entre otros.\n']",Orientado a la Acción,BD1-00403,"['# MINIMIZAR COSTOS Acción consistente en acudir a técnicas productivas para obtener un producto o prestar un servicio disminuyendo su valor de producción, para de esta forma aumentar la ganancia y rentabilidad de la empresa. Ej. A comienzos de siglo, Chile era un exportador de salitre, Alemania crea el salitre sintético de similar calidad que permitió a empresas alemanas disminuir el costo de compra del salitre chileno ya que de esa forma se evitaban los costos de envío del producto a Europa entre otros.', '# COSTOS VARIABLES Son los que se incrementan al aumentar la producción. Pueden ser la materia prima, energéticos necesarios para producir o los trabajadores extras que se contraten.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00403 - MINIMIZAR COSTOS.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00279 - COSTOS VARIABLES.md']"
"¿Qué significa “moneda” y qué tipos de instrumentos de pago se pueden usar, por ejemplo en una máquina de bebidas?","['# MONEDA\n\nEs la representación material que se utiliza como instrumento de cambio comercial, por ejemplo, las monedas, los billetes, las tarjeras de crédito, las letras, etc. Ej. En la máquina de bebidas se pueden utilizar billetes o monedas, mientras que en una multitienda se puede utilizar una tarjeta de crédito.\n']",Principiante / Educativo,BD1-00404,"['# MONEDA Es la representación material que se utiliza como instrumento de cambio comercial, por ejemplo, las monedas, los billetes, las tarjeras de crédito, las letras, etc. Ej. En la máquina de bebidas se pueden utilizar billetes o monedas, mientras que en una multitienda se puede utilizar una tarjeta de crédito.', '# DINERO El dinero es todo medio de cambio y medida de valor generalmente aceptado por una sociedad para efectuar transacciones de bienes, servicios y obligaciones en un lugar y tiempo determinado. Sus funciones son servir de medio de cambio de bienes y servicios, medida de valor para establecer precios y depósito de valor para poder adquirir bienes a futuro. Ej. La tarjeta de crédito sustituye al dinero y cumple su misma función y es utilizada y aceptada por todos a nivel nacional denominándose dinero plástico.']","['s3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00404 - MONEDA.md', 's3://pec-cc-ai-sand-concierge-data/data/Educacion Financiera/Diccionario/BD1-00304 - DINERO.md']"
